ID_MEDICO;especialidade
94;CLINICA MEDICA
95;CLINICA MEDICA
96;CLINICA MEDICA
97;CLINICA MEDICA
98;CLINICA MEDICA
99;CARDIOLOGIA
100;CLINICA MEDICA
101;DERMATOLOGIA
102;CARDIOLOGIA
103;CARDIOLOGIA
104;NEUROCIRURGIA
105;CLINICA MEDICA
106;CARDIOLOGIA
107;GINECOLOGIA E OBSTETRICIA
108;GINECOLOGIA E OBSTETRICIA
109;GINECOLOGIA E OBSTETRICIA
110;PEDIATRIA
111;GINECOLOGIA E OBSTETRICIA
112;CLINICA MEDICA
113;GINECOLOGIA E OBSTETRICIA
114;CLINICA MEDICA
115;GERIATRIA
116;CLINICA MEDICA
117;CLINICA MEDICA
118;CLINICA MEDICA
119;CARDIOLOGIA
120;GERIATRIA
121;CLINICA MEDICA
122;CLINICA MEDICA
123;CLINICA MEDICA
124;REUMATOLOGIA
125;GINECOLOGIA E OBSTETRICIA
126;CLINICA MEDICA
127;CLINICA MEDICA
128;CIRURGIA GERAL
129;ENDOSCOPIA
130;CLINICA MEDICA
131;GINECOLOGIA E OBSTETRICIA
132;CLINICA MEDICA
133;GINECOLOGIA E OBSTETRICIA
134;GINECOLOGIA E OBSTETRICIA
135;MEDICINA DO TRABALHO
136;GINECOLOGIA E OBSTETRICIA
137;PNEUMOLOGIA
138;GINECOLOGIA E OBSTETRICIA
139;GINECOLOGIA E OBSTETRICIA
140;CARDIOLOGIA
141;DERMATOLOGIA
142;CLINICA MEDICA
143;ORTOPEDIA E TRAUMATOLOGIA
144;CLINICA MEDICA
145;RADIOLOGIA E DIAGNOSTICO POR IMAGEM
146;CLINICA MEDICA
147;NEFROLOGIA
148;OFTALMOLOGIA
149;DERMATOLOGIA
150;PSIQUIATRIA
151;ORTOPEDIA E TRAUMATOLOGIA
152;GASTROENTEROLOGIA
153;PSIQUIATRIA
154;PEDIATRIA
155;ANESTESIOLOGIA
156;GASTROENTEROLOGIA
157;PSIQUIATRIA
158;CLINICA MEDICA
159;GINECOLOGIA E OBSTETRICIA
160;PEDIATRIA
161;CARDIOLOGIA
162;INFECTOLOGIA
163;ENDOCRINOLOGIA E METABOLOGIA
164;PSIQUIATRIA
165;GASTROENTEROLOGIA
166;GASTROENTEROLOGIA
167;CIRURGIA GERAL
168;PSIQUIATRIA
169;PSIQUIATRIA
170;GASTROENTEROLOGIA
171;CARDIOLOGIA
172;PSIQUIATRIA
173;GASTROENTEROLOGIA
174;CARDIOLOGIA
175;GASTROENTEROLOGIA
176;GINECOLOGIA E OBSTETRICIA
177;GASTROENTEROLOGIA
178;ENDOCRINOLOGIA E METABOLOGIA
179;ENDOCRINOLOGIA E METABOLOGIA
180;PSIQUIATRIA
181;ENDOCRINOLOGIA E METABOLOGIA
182;GASTROENTEROLOGIA
183;GINECOLOGIA E OBSTETRICIA
184;PSIQUIATRIA
185;PSIQUIATRIA
186;PSIQUIATRIA
187;GASTROENTEROLOGIA
188;CLINICA MEDICA
189;ENDOCRINOLOGIA E METABOLOGIA
190;CLINICA MEDICA
191;CARDIOLOGIA
192;PEDIATRIA
193;CARDIOLOGIA
194;NEUROLOGIA
195;ORTOPEDIA E TRAUMATOLOGIA
196;ANGIOLOGIA
197;CARDIOLOGIA (Ecocardiografia)  | CLÍNICA MÉDICA
198;CARDIOLOGIA
199;CLINICA MEDICA
200;CARDIOLOGIA
201;CARDIOLOGIA
202;ENDOCRINOLOGIA E METABOLOGIA
203;PNEUMOLOGIA
204;ANESTESIOLOGIA
205;GINECOLOGIA E OBSTETRICIA
206;HEMATOLOGIA E HEMOTERAPIA
207;PSIQUIATRIA
208;CARDIOLOGIA
209;CARDIOLOGIA
210;NEUROLOGIA
211;GERIATRIA
212;PEDIATRIA
213;GASTROENTEROLOGIA
214;GINECOLOGIA E OBSTETRICIA
215;GINECOLOGIA E OBSTETRICIA
216;GINECOLOGIA E OBSTETRICIA
217;CIRURGIA GERAL
218;GINECOLOGIA E OBSTETRICIA
219;DERMATOLOGIA
220;NEFROLOGIA
221;ORTOPEDIA E TRAUMATOLOGIA
222;MEDICINA DE FAMÍLIA E COMUNIDADE
223;CLINICA MEDICA
224;GINECOLOGIA E OBSTETRICIA
225;CLINICA MEDICA
226;GINECOLOGIA E OBSTETRICIA
227;MEDICINA DO TRABALHO
228;PSIQUIATRIA
229;CLINICA MEDICA
230;PSIQUIATRIA
231;PSIQUIATRIA
232;PSIQUIATRIA
233;PSIQUIATRIA
234;PEDIATRIA
235;UROLOGIA
236;CLINICA MEDICA
237;CLINICA MEDICA
238;CLINICA MEDICA
239;CLINICA MEDICA
240;GASTROENTEROLOGIA
241;CLINICA MEDICA
242;GINECOLOGIA E OBSTETRICIA
243;PSIQUIATRIA
244;CLINICA MEDICA
245;PSIQUIATRIA
246;GINECOLOGIA E OBSTETRICIA
247;CLINICA MEDICA
248;PEDIATRIA
249;CLINICA MEDICA
250;CLINICA MEDICA
251;GINECOLOGIA E OBSTETRICIA
252;GINECOLOGIA E OBSTETRICIA
253;CLINICA MEDICA
254;ORTOPEDIA E TRAUMATOLOGIA
255;CARDIOLOGIA
256;GERIATRIA
257;CARDIOLOGIA
258;CLINICA MEDICA
259;CLINICA MEDICA
260;CLINICA MEDICA
261;PEDIATRIA
262;DERMATOLOGIA
263;UROLOGIA
264;CARDIOLOGIA
265;REUMATOLOGIA
266;UROLOGIA
267;CLINICA MEDICA
268;PEDIATRIA
269;CARDIOLOGIA
270;ANESTESIOLOGIA
271;CARDIOLOGIA
272;PEDIATRIA
273;CARDIOLOGIA
274;CLINICA MEDICA
275;OTORRINOLARINGOLOGIA
276;CARDIOLOGIA
277;GINECOLOGIA E OBSTETRICIA
278;RADIOLOGIA E DIAGNOSTICO POR IMAGEM
279;DERMATOLOGIA
280;ENDOCRINOLOGIA E METABOLOGIA
281;OTORRINOLARINGOLOGIA
282;CLINICA MEDICA
283;PEDIATRIA
284;GASTROENTEROLOGIA
285;GINECOLOGIA E OBSTETRICIA
286;PEDIATRIA
287;CARDIOLOGIA
288;CARDIOLOGIA
289;CARDIOLOGIA
290;GERIATRIA
291;CLINICA MEDICA
292;PSIQUIATRIA
293;ORTOPEDIA E TRAUMATOLOGIA
294;ENDOCRINOLOGIA E METABOLOGIA
295;ENDOCRINOLOGIA E METABOLOGIA
296;CARDIOLOGIA
297;PEDIATRIA
298;GERIATRIA
299;ORTOPEDIA E TRAUMATOLOGIA
300;OFTALMOLOGIA
301;REUMATOLOGIA
302;PEDIATRIA
303;CLINICA MEDICA
304;ENDOCRINOLOGIA E METABOLOGIA
305;PSIQUIATRIA
306;CARDIOLOGIA
307;CARDIOLOGIA
308;PSIQUIATRIA
309;MEDICINA DO TRABALHO
310;CLINICA MEDICA
311;ORTOPEDIA E TRAUMATOLOGIA
312;OUTRAS OCUPACOES MEDICAS
313;PSIQUIATRIA
314;GASTROENTEROLOGIA
315;CARDIOLOGIA
316;CARDIOLOGIA
317;CIRURGIA GERAL
318;CARDIOLOGIA
319;CARDIOLOGIA
320;CARDIOLOGIA
321;CIRURGIA GERAL
322;ANESTESIOLOGIA
323;NUTROLOGIA
324;CLINICA MEDICA
325;REUMATOLOGIA
326;CIRURGIA GERAL
327;DERMATOLOGIA
328;CIRURGIA GERAL
329;PEDIATRIA
330;CLINICA MEDICA
331;GINECOLOGIA E OBSTETRICIA
332;PEDIATRIA
333;DERMATOLOGIA
334;OTORRINOLARINGOLOGIA
335;CLINICA MEDICA
336;GASTROENTEROLOGIA
337;PEDIATRIA
338;PEDIATRIA
339;GINECOLOGIA E OBSTETRICIA
340;CARDIOLOGIA
341;INFECTOLOGIA
342;GASTROENTEROLOGIA
343;CLINICA MEDICA
344;UROLOGIA
345;PEDIATRIA
346;CLINICA MEDICA
347;CLINICA MEDICA
348;DERMATOLOGIA
349;CARDIOLOGIA
350;CLINICA MEDICA
351;NEFROLOGIA
352;CIRURGIA GERAL
353;CLINICA MEDICA
354;GINECOLOGIA E OBSTETRICIA
355;PEDIATRIA
356;ORTOPEDIA E TRAUMATOLOGIA
357;CLINICA MEDICA
358;UROLOGIA
359;GASTROENTEROLOGIA
360;CARDIOLOGIA
361;OTORRINOLARINGOLOGIA
362;CLINICA MEDICA
363;CARDIOLOGIA
364;PSIQUIATRIA
365;DERMATOLOGIA
366;ANESTESIOLOGIA
367;CLINICA MEDICA
368;CLINICA MEDICA
369;ANGIOLOGIA
370;CARDIOLOGIA
371;GINECOLOGIA E OBSTETRICIA
372;PEDIATRIA
373;ORTOPEDIA E TRAUMATOLOGIA
374;CLINICA MEDICA
375;CIRURGIA GERAL
376;CLINICA MEDICA
377;CLINICA MEDICA
378;CLINICA MEDICA
379;CLINICA MEDICA
380;CLINICA MEDICA
381;CLINICA MEDICA
382;RADIOLOGIA E DIAGNOSTICO POR IMAGEM
383;RADIOLOGIA E DIAGNOSTICO POR IMAGEM
384;CLINICA MEDICA
385;NEUROLOGIA
386;CARDIOLOGIA
387;CLINICA MEDICA
388;CARDIOLOGIA
389;GINECOLOGIA E OBSTETRICIA
390;CLINICA MEDICA
391;PEDIATRIA
392;ORTOPEDIA E TRAUMATOLOGIA
393;ANESTESIOLOGIA
394;PSIQUIATRIA
395;PSIQUIATRIA
396;ORTOPEDIA E TRAUMATOLOGIA
397;ENDOCRINOLOGIA E METABOLOGIA
398;UROLOGIA
399;CARDIOLOGIA
400;PEDIATRIA
401;ANESTESIOLOGIA
402;UROLOGIA
403;RADIOLOGIA E DIAGNOSTICO POR IMAGEM
404;CARDIOLOGIA
405;GINECOLOGIA E OBSTETRICIA
406;CARDIOLOGIA
407;RADIOLOGIA E DIAGNOSTICO POR IMAGEM
408;OFTALMOLOGIA
409;GASTROENTEROLOGIA
410;ANGIOLOGIA
411;NEUROLOGIA
412;CARDIOLOGIA
413;GINECOLOGIA E OBSTETRICIA
414;ALERGIA E IMUNOLOGIA
415;PSIQUIATRIA
416;PSIQUIATRIA
417;OTORRINOLARINGOLOGIA
418;CARDIOLOGIA
419;COLOPROCTOLOGIA
420;CARDIOLOGIA
421;CLINICA MEDICA
422;CLINICA MEDICA
423;CLINICA MEDICA
424;NEUROLOGIA
425;CARDIOLOGIA
426;CLINICA MEDICA
427;GINECOLOGIA E OBSTETRICIA
428;CLINICA MEDICA
429;ANESTESIOLOGIA
430;ENDOCRINOLOGIA E METABOLOGIA
431;PEDIATRIA
432;CLINICA MEDICA
433;OFTALMOLOGIA
434;GASTROENTEROLOGIA
435;CARDIOLOGIA
436;UROLOGIA
437;PSIQUIATRIA
438;CARDIOLOGIA
439;NEUROCIRURGIA
440;CARDIOLOGIA
441;CARDIOLOGIA
442;ENDOCRINOLOGIA E METABOLOGIA
443;CARDIOLOGIA
444;CARDIOLOGIA
445;REUMATOLOGIA
446;ORTOPEDIA E TRAUMATOLOGIA
447;OTORRINOLARINGOLOGIA
448;CLINICA MEDICA
449;CLINICA MEDICA
450;CIRURGIA GERAL
451;CARDIOLOGIA
452;GINECOLOGIA E OBSTETRICIA
453;GINECOLOGIA E OBSTETRICIA
454;CARDIOLOGIA
455;ALERGIA E IMUNOLOGIA
456;CLINICA MEDICA
457;CARDIOLOGIA
458;CLINICA MEDICA
459;NEUROLOGIA
460;PNEUMOLOGIA
461;CIRURGIA GERAL
462;REUMATOLOGIA
463;CLINICA MEDICA
464;DERMATOLOGIA
465;ORTOPEDIA E TRAUMATOLOGIA
466;CLINICA MEDICA
467;CLINICA MEDICA
468;ENDOCRINOLOGIA E METABOLOGIA
469;CLINICA MEDICA
470;CARDIOLOGIA
471;GINECOLOGIA E OBSTETRICIA
472;NEUROLOGIA
473;ENDOCRINOLOGIA E METABOLOGIA
474;CLINICA MEDICA
475;CLINICA MEDICA
476;RADIOLOGIA E DIAGNOSTICO POR IMAGEM
477;CARDIOLOGIA
478;GINECOLOGIA E OBSTETRICIA
479;CLINICA MEDICA
480;OFTALMOLOGIA
481;NEUROLOGIA
482;CLINICA MEDICA
483;DERMATOLOGIA
484;MEDICINA DE FAMILIA E COMUNIDADE
485;PSIQUIATRIA
486;OUTRAS OCUPACOES MEDICAS
487;ENDOCRINOLOGIA E METABOLOGIA
488;GENETICA MEDICA
489;GINECOLOGIA E OBSTETRICIA
490;CLINICA MEDICA
491;PEDIATRIA
492;GINECOLOGIA E OBSTETRICIA
493;CIRURGIA GERAL
494;GINECOLOGIA E OBSTETRICIA
495;GASTROENTEROLOGIA
496;PEDIATRIA
497;PEDIATRIA
498;DERMATOLOGIA
499;GINECOLOGIA E OBSTETRICIA
500;NEUROLOGIA
501;GINECOLOGIA E OBSTETRICIA
502;NEUROCIRURGIA
503;GINECOLOGIA E OBSTETRICIA
504;PEDIATRIA
505;CIRURGIA PEDIATRICA
506;GINECOLOGIA E OBSTETRICIA
507;CARDIOLOGIA
508;NEFROLOGIA
509;GERIATRIA
510;CLINICA MEDICA
511;OTORRINOLARINGOLOGIA
512;CARDIOLOGIA
513;ENDOCRINOLOGIA E METABOLOGIA
514;CLINICA MEDICA
515;DERMATOLOGIA
516;OFTALMOLOGIA
517;CLINICA MEDICA
518;ORTOPEDIA E TRAUMATOLOGIA
519;CARDIOLOGIA
520;GINECOLOGIA E OBSTETRICIA
521;PEDIATRIA
522;ALERGIA E IMUNOLOGIA
523;NEUROLOGIA
524;PEDIATRIA
525;INFECTOLOGIA
526;CIRURGIA GERAL
527;PNEUMOLOGIA
528;PEDIATRIA
529;DERMATOLOGIA
530;PSIQUIATRIA
531;PSIQUIATRIA
532;CARDIOLOGIA
533;PSIQUIATRIA
534;PSIQUIATRIA
535;PSIQUIATRIA
536;DERMATOLOGIA
537;CIRURGIA GERAL
538;PSIQUIATRIA
539;PSIQUIATRIA
540;PSIQUIATRIA
541;CLINICA MEDICA
542;UROLOGIA
543;PEDIATRIA
544;CARDIOLOGIA
545;CLINICA MEDICA
546;CARDIOLOGIA
547;DERMATOLOGIA
548;GERIATRIA
549;CIRURGIA GERAL
550;ENDOCRINOLOGIA E METABOLOGIA
551;GASTROENTEROLOGIA
552;CLINICA MEDICA
553;NEFROLOGIA
554;OTORRINOLARINGOLOGIA
555;CIRURGIA GERAL
556;UROLOGIA
557;COLOPROCTOLOGIA
558;CARDIOLOGIA
559;CARDIOLOGIA
560;NEUROLOGIA
561;CARDIOLOGIA
562;PEDIATRIA
563;GASTROENTEROLOGIA
564;GASTROENTEROLOGIA
565;INFECTOLOGIA
566;ENDOCRINOLOGIA E METABOLOGIA
567;CLINICA MEDICA
568;GINECOLOGIA E OBSTETRICIA
569;GINECOLOGIA E OBSTETRICIA
570;ENDOCRINOLOGIA E METABOLOGIA
571;GINECOLOGIA E OBSTETRICIA
572;CARDIOLOGIA
573;NEUROLOGIA
574;PSIQUIATRIA
575;CLINICA MEDICA
576;ORTOPEDIA E TRAUMATOLOGIA
577;PSIQUIATRIA
578;PEDIATRIA
579;OFTALMOLOGIA
580;CIRURGIA GERAL
581;ENDOCRINOLOGIA E METABOLOGIA
582;CLINICA MEDICA
583;DERMATOLOGIA
584;CARDIOLOGIA
585;NEUROCIRURGIA
586;ENDOCRINOLOGIA E METABOLOGIA
587;ENDOCRINOLOGIA E METABOLOGIA
588;DERMATOLOGIA
589;DERMATOLOGIA
590;PEDIATRIA
591;CLINICA MEDICA
592;PEDIATRIA
593;GINECOLOGIA E OBSTETRICIA
594;PEDIATRIA
595;CLINICA MEDICA
596;NEFROLOGIA
597;CLINICA MEDICA
598;CARDIOLOGIA
599;CLINICA MEDICA
600;CLINICA MEDICA
601;CLINICA MEDICA
602;CLINICA MEDICA
603;CLINICA MEDICA
604;GERIATRIA
605;PEDIATRIA
606;CLINICA MEDICA
607;GINECOLOGIA E OBSTETRICIA
608;CLINICA MEDICA
609;PNEUMOLOGIA
610;PEDIATRIA
611;CARDIOLOGIA
612;PNEUMOLOGIA
613;CARDIOLOGIA
614;GERIATRIA
615;CIRURGIA GERAL
616;UROLOGIA
617;OTORRINOLARINGOLOGIA
618;GASTROENTEROLOGIA
619;ORTOPEDIA E TRAUMATOLOGIA
620;PNEUMOLOGIA
621;PNEUMOLOGIA
622;ENDOCRINOLOGIA E METABOLOGIA
623;PSIQUIATRIA
624;MEDICINA DO TRABALHO
625;PEDIATRIA
626;CARDIOLOGIA
627;GINECOLOGIA E OBSTETRICIA
628;ANESTESIOLOGIA
629;GINECOLOGIA E OBSTETRICIA
630;GINECOLOGIA E OBSTETRICIA
631;DERMATOLOGIA
632;PSIQUIATRIA
633;ORTOPEDIA E TRAUMATOLOGIA
634;PEDIATRIA
635;CLINICA MEDICA
636;NEFROLOGIA
637;PSIQUIATRIA
638;CARDIOLOGIA
639;CLINICA MEDICA
640;GINECOLOGIA E OBSTETRICIA
641;UROLOGIA
642;ENDOCRINOLOGIA E METABOLOGIA
643;MEDICINA DO TRABALHO
644;GASTROENTEROLOGIA
645;PEDIATRIA
646;GINECOLOGIA E OBSTETRICIA
647;PSIQUIATRIA
648;REUMATOLOGIA
649;NEUROLOGIA
650;GASTROENTEROLOGIA
651;NEUROLOGIA
652;CARDIOLOGIA
653;ORTOPEDIA E TRAUMATOLOGIA
654;DERMATOLOGIA
655;DERMATOLOGIA
656;CARDIOLOGIA
657;OFTALMOLOGIA
658;PEDIATRIA
659;CLINICA MEDICA
660;PSIQUIATRIA
661;CARDIOLOGIA
662;UROLOGIA
663;CLINICA MEDICA
664;GINECOLOGIA E OBSTETRICIA
665;GINECOLOGIA E OBSTETRICIA
666;CARDIOLOGIA | CLÍNICA MÉDICA
667;CLINICA MEDICA
668;ORTOPEDIA E TRAUMATOLOGIA
669;CLINICA MEDICA
670;PSIQUIATRIA
671;GINECOLOGIA E OBSTETRICIA
672;CLINICA MEDICA
673;CARDIOLOGIA
674;GINECOLOGIA E OBSTETRICIA
675;GINECOLOGIA E OBSTETRICIA
676;PEDIATRIA
677;DERMATOLOGIA
678;CIRURGIA GERAL
679;GASTROENTEROLOGIA
680;PEDIATRIA
681;GERIATRIA
682;CLINICA MEDICA
683;GINECOLOGIA E OBSTETRICIA
684;GASTROENTEROLOGIA
685;CLINICA MEDICA
686;CIRURGIA GERAL
687;PEDIATRIA
688;PEDIATRIA
689;GINECOLOGIA E OBSTETRICIA
690;NEUROLOGIA
691;PSIQUIATRIA
692;CLINICA MEDICA
693;CLINICA MEDICA
694;GINECOLOGIA E OBSTETRICIA
695;GINECOLOGIA E OBSTETRICIA
696;GINECOLOGIA E OBSTETRICIA
697;PEDIATRIA
698;CLINICA MEDICA
699;CIRURGIA DO APARELHO DIGESTIVO
700;HOMEOPATIA
701;CLINICA MEDICA
702;PSIQUIATRIA
703;ANGIOLOGIA
704;DERMATOLOGIA
705;PSIQUIATRIA
706;ANESTESIOLOGIA
707;GASTROENTEROLOGIA
708;RADIOTERAPIA
709;PEDIATRIA
710;PEDIATRIA
711;RADIOTERAPIA
712;PSIQUIATRIA
713;GINECOLOGIA E OBSTETRICIA
714;CLINICA MEDICA
715;PEDIATRIA
716;PEDIATRIA
717;GINECOLOGIA E OBSTETRICIA
718;ANESTESIOLOGIA
719;MEDICINA ESPORTIVA
720;NEUROLOGIA
721;GINECOLOGIA E OBSTETRICIA
722;ANESTESIOLOGIA
723;CLINICA MEDICA
724;DERMATOLOGIA
725;ENDOCRINOLOGIA E METABOLOGIA
726;PEDIATRIA
727;CLINICA MEDICA
728;NEUROLOGIA
729;CLINICA MEDICA
730;CLINICA MEDICA
731;CIRURGIA PLASTICA
732;PEDIATRIA
733;CLINICA MEDICA
734;PEDIATRIA
735;NEFROLOGIA
736;GINECOLOGIA E OBSTETRICIA
737;CARDIOLOGIA
738;PEDIATRIA
739;CLINICA MEDICA
740;PEDIATRIA
741;CARDIOLOGIA
742;PEDIATRIA
743;PEDIATRIA
744;GINECOLOGIA E OBSTETRICIA
745;CLINICA MEDICA
746;CARDIOLOGIA
747;PEDIATRIA
748;GINECOLOGIA E OBSTETRICIA
749;GINECOLOGIA E OBSTETRICIA
750;PEDIATRIA
751;CARDIOLOGIA
752;CLINICA MEDICA
753;ORTOPEDIA E TRAUMATOLOGIA
754;CIRURGIA PLASTICA
755;UROLOGIA
756;GINECOLOGIA E OBSTETRICIA
757;CLINICA MEDICA
758;PNEUMOLOGIA
759;CLINICA MEDICA
760;GINECOLOGIA E OBSTETRICIA
761;CARDIOLOGIA
762;ORTOPEDIA E TRAUMATOLOGIA
763;CIRURGIA GERAL
764;CLINICA MEDICA
765;GINECOLOGIA E OBSTETRICIA
766;CLINICA MEDICA
767;GASTROENTEROLOGIA
768;GINECOLOGIA E OBSTETRICIA
769;NEFROLOGIA
770;MEDICINA DO TRABALHO
771;CARDIOLOGIA
772;PEDIATRIA
773;CIRURGIA GERAL
774;PNEUMOLOGIA
775;PEDIATRIA
776;OTORRINOLARINGOLOGIA
777;DERMATOLOGIA
778;GINECOLOGIA E OBSTETRICIA
779;DERMATOLOGIA
780;ANGIOLOGIA
781;CLINICA MEDICA
782;PSIQUIATRIA
783;GINECOLOGIA E OBSTETRICIA
784;CARDIOLOGIA
785;GINECOLOGIA E OBSTETRICIA
786;PEDIATRIA
787;GINECOLOGIA E OBSTETRICIA
788;GINECOLOGIA E OBSTETRICIA
789;PEDIATRIA
790;INFECTOLOGIA
791;MEDICINA DO TRABALHO
792;GERIATRIA
793;CLINICA MEDICA
794;PEDIATRIA
795;GINECOLOGIA E OBSTETRICIA
796;CLINICA MEDICA
797;OFTALMOLOGIA
798;GINECOLOGIA E OBSTETRICIA
799;ORTOPEDIA E TRAUMATOLOGIA
800;CIRURGIA DE CABECA E PESCOCO
801;GINECOLOGIA E OBSTETRICIA
802;CARDIOLOGIA
803;NEUROLOGIA
804;GINECOLOGIA E OBSTETRICIA
805;PNEUMOLOGIA
806;CLINICA MEDICA
807;CLINICA MEDICA
808;PNEUMOLOGIA
809;CARDIOLOGIA
810;ORTOPEDIA E TRAUMATOLOGIA
811;PSIQUIATRIA
812;ANESTESIOLOGIA
813;DERMATOLOGIA
814;NEUROLOGIA
815;CLINICA MEDICA
816;CLINICA MEDICA
817;CLINICA MEDICA
818;PEDIATRIA
819;NEUROLOGIA
820;CLINICA MEDICA
821;GINECOLOGIA E OBSTETRICIA
822;PNEUMOLOGIA
823;PEDIATRIA
824;GINECOLOGIA E OBSTETRICIA
825;CLINICA MEDICA
826;CIRURGIA GERAL
827;PSIQUIATRIA
828;CANCEROLOGIA
829;ENDOCRINOLOGIA E METABOLOGIA
830;CARDIOLOGIA
831;CARDIOLOGIA
832;PEDIATRIA
833;GINECOLOGIA E OBSTETRICIA
834;CLINICA MEDICA
835;CLINICA MEDICA
836;GINECOLOGIA E OBSTETRICIA
837;MEDICINA DO TRABALHO
838;DERMATOLOGIA
839;GINECOLOGIA E OBSTETRICIA
840;CARDIOLOGIA
841;ENDOCRINOLOGIA E METABOLOGIA
842;PEDIATRIA
843;DERMATOLOGIA
844;MEDICINA DO TRABALHO
845;GINECOLOGIA E OBSTETRICIA
846;CLINICA MEDICA
847;GERIATRIA
848;PEDIATRIA
849;CARDIOLOGIA
850;PSIQUIATRIA
851;PSIQUIATRIA
852;CLINICA MEDICA
853;CLINICA MEDICA
854;GINECOLOGIA E OBSTETRICIA
855;GINECOLOGIA E OBSTETRICIA
856;PEDIATRIA
857;ANESTESIOLOGIA
858;NEUROLOGIA
859;PNEUMOLOGIA
860;GINECOLOGIA E OBSTETRICIA
861;GINECOLOGIA E OBSTETRICIA
862;CLINICA MEDICA
863;GINECOLOGIA E OBSTETRICIA
864;CIRURGIA DE CABECA E PESCOCO
865;PSIQUIATRIA
866;PNEUMOLOGIA
867;GINECOLOGIA E OBSTETRICIA
868;ENDOCRINOLOGIA E METABOLOGIA
869;GINECOLOGIA E OBSTETRICIA
870;GINECOLOGIA E OBSTETRICIA
871;CIRURGIA GERAL
872;CIRURGIA GERAL
873;PSIQUIATRIA
874;ANESTESIOLOGIA
875;CARDIOLOGIA
876;ANESTESIOLOGIA
877;CLINICA MEDICA
878;ENDOCRINOLOGIA E METABOLOGIA
879;CLINICA MEDICA
880;ORTOPEDIA E TRAUMATOLOGIA
881;NEUROLOGIA
882;CLINICA MEDICA
883;CLINICA MEDICA
884;GINECOLOGIA E OBSTETRICIA
885;ORTOPEDIA E TRAUMATOLOGIA
886;CARDIOLOGIA
887;ENDOCRINOLOGIA E METABOLOGIA
888;CLINICA MEDICA
889;INFECTOLOGIA
890;PEDIATRIA
891;CARDIOLOGIA
892;GINECOLOGIA E OBSTETRICIA
893;GINECOLOGIA E OBSTETRICIA
894;OTORRINOLARINGOLOGIA
895;CLINICA MEDICA
896;DERMATOLOGIA
897;ENDOCRINOLOGIA E METABOLOGIA
898;CIRURGIA DO APARELHO DIGESTIVO
899;GASTROENTEROLOGIA
900;NEFROLOGIA
901;CLINICA MEDICA
902;CLINICA MEDICA
903;PSIQUIATRIA
904;CLINICA MEDICA
905;CLINICA MEDICA
906;GINECOLOGIA E OBSTETRICIA
907;CARDIOLOGIA
908;GINECOLOGIA E OBSTETRICIA
909;PNEUMOLOGIA
910;CIRURGIA GERAL
911;PNEUMOLOGIA
912;ORTOPEDIA E TRAUMATOLOGIA
913;NEUROLOGIA
914;CLINICA MEDICA
915;ANGIOLOGIA
916;PEDIATRIA
